number, label
0001, 70
0002, 42
0003, 58
0004, 41
0005, 27
0006, 60
0007, 7
0008, 98
0009, 96
0010, 80
0011, 21
0012, 38
0013, 67
0014, 47
0015, 96
0016, 47
0017, 73
0018, 33
0019, 26
0020, 50
0021, 36
0022, 45
0023, 12
0024, 31
0025, 90
0026, 48
0027, 70
0028, 76
0029, 79
0030, 96
0031, 21
0032, 62
0033, 16
0034, 66
0035, 40
0036, 79
0037, 36
0038, 61
0039, 64
0040, 6
0041, 37
0042, 16
0043, 43
0044, 81
0045, 33
0046, 82
0047, 25
0048, 74
0049, 90
0050, 9
0051, 71
0052, 59
0053, 42
0054, 12
0055, 44
0056, 50
0057, 63
0058, 41
0059, 23
0060, 78
0061, 81
0062, 46
0063, 75
0064, 10
0065, 90
0066, 59
0067, 57
0068, 51
0069, 1
0070, 18
0071, 98
0072, 45
0073, 32
0074, 20
0075, 74
0076, 26
0077, 40
0078, 24
0079, 31
0080, 42
0081, 60
0082, 21
0083, 0
0084, 10
0085, 99
0086, 68
0087, 19
0088, 50
0089, 90
0090, 18
0091, 82
0092, 32
0093, 66
0094, 22
0095, 18
0096, 94
0097, 81
0098, 21
0099, 84
0100, 82
0101, 79
0102, 32
0103, 30
0104, 6
0105, 81
0106, 39
0107, 61
0108, 69
0109, 64
0110, 83
0111, 81
0112, 12
0113, 39
0114, 42
0115, 60
0116, 71
0117, 55
0118, 96
0119, 59
0120, 71
0121, 10
0122, 11
0123, 68
0124, 74
0125, 46
0126, 22
0127, 84
0128, 17
0129, 39
0130, 67
0131, 82
0132, 9
0133, 73
0134, 94
0135, 81
0136, 33
0137, 57
0138, 1
0139, 59
0140, 67
0141, 9
0142, 57
0143, 15
0144, 73
0145, 38
0146, 44
0147, 2
0148, 7
0149, 66
0150, 82
0151, 0
0152, 27
0153, 66
0154, 90
0155, 8
0156, 49
0157, 27
0158, 79
0159, 74
0160, 47
0161, 94
0162, 63
0163, 79
0164, 32
0165, 58
0166, 65
0167, 67
0168, 12
0169, 99
0170, 1
0171, 26
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 91
0181, 90
0182, 55
0183, 40
0184, 37
0185, 22
0186, 20
0187, 86
0188, 1
0189, 18
0190, 18
0191, 71
0192, 72
0193, 82
0194, 23
0195, 42
0196, 43
0197, 25
0198, 6
0199, 88
0200, 76
0201, 82
0202, 28
0203, 83
0204, 93
0205, 80
0206, 61
0207, 71
0208, 0
0209, 15
0210, 86
0211, 18
0212, 64
0213, 70
0214, 7
0215, 90
0216, 98
0217, 86
0218, 81
0219, 97
0220, 36
0221, 73
0222, 62
0223, 32
0224, 3
0225, 2
0226, 24
0227, 12
0228, 67
0229, 7
0230, 12
0231, 96
0232, 39
0233, 46
0234, 5
0235, 57
0236, 57
0237, 7
0238, 88
0239, 15
0240, 32
0241, 71
0242, 80
0243, 11
0244, 74
0245, 68
0246, 57
0247, 4
0248, 24
0249, 86
0250, 67
0251, 90
0252, 97
0253, 33
0254, 56
0255, 51
0256, 78
0257, 55
0258, 79
0259, 66
0260, 27
0261, 75
0262, 15
0263, 23
0264, 96
0265, 37
0266, 3
0267, 42
0268, 96
0269, 18
0270, 44
0271, 2
0272, 30
0273, 61
0274, 45
0275, 53
0276, 61
0277, 46
0278, 4
0279, 23
0280, 21
0281, 27
0282, 51
0283, 51
0284, 60
0285, 55
0286, 4
0287, 8
0288, 67
0289, 69
0290, 94
0291, 62
0292, 42
0293, 35
0294, 94
0295, 1
0296, 81
0297, 50
0298, 74
0299, 65
0300, 66
0301, 87
0302, 46
0303, 18
0304, 42
0305, 21
0306, 25
0307, 67
0308, 25
0309, 37
0310, 4
0311, 21
0312, 38
0313, 37
0314, 18
0315, 81
0316, 46
0317, 71
0318, 3
0319, 70
0320, 83
0321, 30
0322, 33
0323, 12
0324, 55
0325, 6
0326, 63
0327, 81
0328, 18
0329, 12
0330, 88
0331, 53
0332, 9
0333, 26
0334, 70
0335, 96
0336, 59
0337, 78
0338, 59
0339, 6
0340, 59
0341, 79
0342, 24
0343, 66
0344, 83
0345, 7
0346, 12
0347, 28
0348, 78
0349, 9
0350, 79
0351, 16
0352, 86
0353, 85
0354, 73
0355, 51
0356, 32
0357, 60
0358, 42
0359, 30
0360, 24
0361, 12
0362, 6
0363, 90
0364, 93
0365, 83
0366, 19
0367, 79
0368, 45
0369, 88
0370, 67
0371, 67
0372, 18
0373, 70
0374, 63
0375, 9
0376, 61
0377, 53
0378, 77
0379, 45
0380, 90
0381, 25
0382, 81
0383, 38
0384, 96
0385, 49
0386, 12
0387, 31
0388, 87
0389, 42
0390, 67
0391, 90
0392, 85
0393, 21
0394, 92
0395, 55
0396, 84
0397, 23
0398, 18
0399, 89
0400, 45
0401, 11
0402, 42
0403, 22
0404, 83
0405, 66
0406, 88
0407, 79
0408, 55
0409, 17
0410, 59
0411, 10
0412, 78
0413, 23
0414, 96
0415, 97
0416, 39
0417, 24
0418, 10
0419, 10
0420, 1
0421, 96
0422, 96
0423, 95
0424, 66
0425, 10
0426, 39
0427, 79
0428, 21
0429, 11
0430, 81
0431, 48
0432, 17
0433, 58
0434, 66
0435, 40
0436, 66
0437, 21
0438, 91
0439, 72
0440, 78
0441, 66
0442, 81
0443, 75
0444, 18
0445, 8
0446, 9
0447, 38
0448, 69
0449, 62
0450, 59
0451, 32
0452, 99
0453, 18
0454, 21
0455, 23
0456, 86
0457, 37
0458, 90
0459, 59
0460, 59
0461, 33
0462, 83
0463, 95
0464, 21
0465, 77
0466, 12
0467, 60
0468, 18
0469, 81
0470, 58
0471, 38
0472, 27
0473, 92
0474, 51
0475, 67
0476, 85
0477, 50
0478, 18
0479, 75
0480, 14
0481, 28
0482, 38
0483, 35
0484, 97
0485, 2
0486, 5
0487, 66
0488, 97
0489, 18
0490, 63
0491, 60
0492, 50
0493, 94
0494, 44
0495, 0
0496, 40
0497, 21
0498, 93
0499, 0
0500, 83
0501, 12
0502, 37
0503, 82
0504, 18
0505, 46
0506, 70
0507, 48
0508, 31
0509, 31
0510, 22
0511, 21
0512, 51
0513, 65
0514, 23
0515, 16
0516, 52
0517, 81
0518, 70
0519, 11
0520, 95
0521, 33
0522, 74
0523, 4
0524, 66
0525, 56
0526, 14
0527, 18
0528, 96
0529, 50
0530, 94
0531, 30
0532, 81
0533, 24
0534, 12
0535, 27
0536, 11
0537, 14
0538, 27
0539, 18
0540, 18
0541, 96
0542, 5
0543, 94
0544, 87
0545, 36
0546, 4
0547, 72
0548, 96
0549, 23
0550, 88
0551, 4
0552, 63
0553, 74
0554, 60
0555, 12
0556, 44
0557, 32
0558, 24
0559, 55
0560, 1
0561, 18
0562, 18
0563, 17
0564, 18
0565, 23
0566, 45
0567, 60
0568, 17
0569, 59
0570, 92
0571, 26
0572, 90
0573, 48
0574, 90
0575, 48
0576, 15
0577, 90
0578, 27
0579, 58
0580, 23
0581, 72
0582, 24
0583, 66
0584, 6
0585, 55
0586, 18
0587, 35
0588, 63
0589, 51
0590, 71
0591, 58
0592, 5
0593, 78
0594, 23
0595, 45
0596, 67
0597, 24
0598, 78
0599, 3
0600, 96
0601, 22
0602, 30
0603, 16
0604, 78
0605, 8
0606, 18
0607, 76
0608, 6
0609, 9
0610, 22
0611, 45
0612, 17
0613, 20
0614, 27
0615, 66
0616, 63
0617, 71
0618, 4
0619, 18
0620, 15
0621, 18
0622, 47
0623, 32
0624, 96
0625, 62
0626, 90
0627, 3
0628, 5
0629, 7
0630, 69
0631, 62
0632, 68
0633, 29
0634, 14
0635, 70
0636, 68
0637, 0
0638, 49
0639, 45
0640, 18
0641, 21
0642, 18
0643, 12
0644, 64
0645, 32
0646, 6
0647, 6
0648, 2
0649, 7
0650, 18
0651, 91
0652, 83
0653, 65
0654, 7
0655, 27
0656, 40
0657, 69
0658, 67
0659, 40
0660, 31
0661, 17
0662, 41
0663, 61
0664, 84
0665, 45
0666, 71
0667, 59
0668, 97
0669, 22
0670, 18
0671, 41
0672, 67
0673, 37
0674, 82
0675, 81
0676, 66
0677, 33
0678, 51
0679, 16
0680, 7
0681, 7
0682, 6
0683, 42
0684, 7
0685, 32
0686, 79
0687, 79
0688, 12
0689, 85
0690, 85
0691, 55
0692, 81
0693, 56
0694, 23
0695, 96
0696, 35
0697, 23
0698, 62
0699, 25
0700, 32
0701, 25
0702, 17
0703, 62
0704, 18
0705, 26
0706, 28
0707, 15
0708, 23
0709, 68
0710, 28
0711, 21
0712, 74
0713, 58
0714, 83
0715, 12
0716, 66
0717, 94
0718, 22
0719, 51
0720, 21
0721, 81
0722, 7
0723, 48
0724, 12
0725, 78
0726, 27
0727, 83
0728, 23
0729, 63
0730, 66
0731, 89
0732, 55
0733, 27
0734, 38
0735, 28
0736, 21
0737, 9
0738, 35
0739, 22
0740, 96
0741, 70
0742, 66
0743, 33
0744, 26
0745, 16
0746, 90
0747, 97
0748, 18
0749, 99
0750, 57
0751, 20
0752, 18
0753, 12
0754, 41
0755, 66
0756, 55
0757, 50
0758, 18
0759, 78
0760, 32
0761, 55
0762, 90
0763, 5
0764, 0
0765, 38
0766, 86
0767, 6
0768, 47
0769, 59
0770, 52
0771, 33
0772, 41
0773, 21
0774, 8
0775, 60
0776, 70
0777, 96
0778, 96
0779, 0
0780, 28
0781, 59
0782, 68
0783, 64
0784, 84
0785, 44
0786, 0
0787, 6
0788, 24
0789, 29
0790, 76
0791, 55
0792, 70
0793, 48
0794, 66
0795, 61
0796, 3
0797, 12
0798, 89
0799, 1
0800, 21
0801, 67
0802, 78
0803, 23
0804, 30
0805, 93
0806, 30
0807, 42
0808, 59
0809, 23
0810, 21
0811, 35
0812, 90
0813, 74
0814, 29
0815, 52
0816, 95
0817, 12
0818, 9
0819, 74
0820, 98
0821, 18
0822, 46
0823, 22
0824, 37
0825, 18
0826, 81
0827, 12
0828, 90
0829, 40
0830, 60
0831, 46
0832, 5
0833, 39
0834, 61
0835, 51
0836, 99
0837, 52
0838, 26
0839, 18
0840, 9
0841, 86
0842, 70
0843, 45
0844, 42
0845, 6
0846, 74
0847, 96
0848, 66
0849, 5
0850, 67
0851, 80
0852, 90
0853, 11
0854, 59
0855, 62
0856, 18
0857, 49
0858, 87
0859, 66
0860, 11
0861, 18
0862, 81
0863, 11
0864, 55
0865, 48
0866, 82
0867, 82
0868, 64
0869, 25
0870, 12
0871, 93
0872, 20
0873, 66
0874, 18
0875, 30
0876, 71
0877, 7
0878, 71
0879, 14
0880, 27
0881, 9
0882, 66
0883, 77
0884, 70
0885, 94
0886, 48
0887, 51
0888, 96
0889, 47
0890, 36
0891, 23
0892, 15
0893, 8
0894, 66
0895, 6
0896, 74
0897, 67
0898, 81
0899, 12
0900, 96
0901, 82
0902, 84
0903, 18
0904, 55
0905, 47
0906, 81
0907, 21
0908, 12
0909, 25
0910, 76
0911, 66
0912, 91
0913, 12
0914, 88
0915, 65
0916, 67
0917, 58
0918, 24
0919, 35
0920, 73
0921, 4
0922, 46
0923, 81
0924, 26
0925, 44
0926, 30
0927, 12
0928, 74
0929, 9
0930, 0
0931, 68
0932, 81
0933, 84
0934, 72
0935, 81
0936, 55
0937, 18
0938, 90
0939, 66
0940, 86
0941, 7
0942, 22
0943, 71
0944, 35
0945, 80
0946, 13
0947, 9
0948, 44
0949, 83
0950, 78
0951, 26
0952, 68
0953, 14
0954, 20
0955, 45
0956, 87
0957, 48
0958, 0
0959, 30
0960, 96
0961, 76
0962, 18
0963, 85
0964, 3
0965, 66
0966, 69
0967, 75
0968, 60
0969, 23
0970, 7
0971, 40
0972, 81
0973, 56
0974, 16
0975, 73
0976, 71
0977, 12
0978, 92
0979, 72
0980, 66
0981, 67
0982, 94
0983, 11
0984, 59
0985, 24
0986, 8
0987, 68
0988, 68
0989, 26
0990, 10
0991, 94
0992, 21
0993, 18
0994, 62
0995, 6
0996, 8
0997, 11
0998, 26
0999, 1
1000, 12
1001, 6
1002, 73
1003, 83
1004, 89
1005, 66
1006, 94
1007, 74
1008, 20
1009, 62
1010, 25
1011, 71
1012, 85
1013, 27
1014, 60
1015, 61
1016, 11
1017, 90
1018, 71
1019, 33
1020, 26
1021, 27
1022, 91
1023, 18
1024, 8
1025, 64
1026, 39
1027, 60
1028, 5
1029, 33
1030, 96
1031, 60
1032, 41
1033, 6
1034, 96
1035, 66
1036, 88
